mes;cliente;campanya;objetivo;subojetivo;objetivo_final;disciplina;soporte;tipo_coste;pagador;producto;subproducto;impresiones;clics;inversion;impresiones_medibles;impresiones_visibles;views;views_25;views_50;views_75;video_100
3;Orange;Eros;Branding;Consideración;Cobertura;AUD;SPOTIFY;CPM;RESIDENCIAL;LOVE;ILIMITADOS;210275.0;136.0;1051.415;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;AUD;TARGETSPOT;CPM;RESIDENCIAL;LOVE;ILIMITADOS;514780.0;3718.0;4118.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Display;ADSLZONE;CPM;RESIDENCIAL;LOVE;ILIMITADOS;1130707.0;2375.0;4522.830000000001;1116637.0;633076.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Display;AS;COSTEFIJO;RESIDENCIAL;LOVE;ILIMITADOS;9092677.0;17556.0;7000.0;8376110.0;3564218.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Display;ELDIARIO;CPM;RESIDENCIAL;LOVE;ILIMITADOS;431454.0;1394.0;862.9100000000002;398648.0;209536.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Display;ELPAIS;COSTEFIJO;RESIDENCIAL;LOVE;ILIMITADOS;14902019.0;43657.0;14000.0;12304406.0;6901138.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Display;HPH;CPM;RESIDENCIAL;LOVE;ILIMITADOS;4177380.0;3508.0;5035.289004272594;3542116.0;929615.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Display;LARAZON;CPM;RESIDENCIAL;LOVE;ILIMITADOS;644803.0;876.0;1302.70572;601743.0;306794.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Display;LAVANGUARDIA;CPM;RESIDENCIAL;LOVE;ILIMITADOS;756110.0;788.0;4158.6;731420.0;186441.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Display;LVP;COSTEFIJO;RESIDENCIAL;LOVE;ILIMITADOS;36634.0;7.0;0.0;36205.0;9732.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Display;LVP;COSTEFIJO;RESIDENCIAL;LOVE;QUEDATEENCASA;13855.0;9.0;0.0;13573.0;3870.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Display;MARCA;COSTEFIJO;RESIDENCIAL;LOVE;ILIMITADOS;622835.0;779.0;3735.4400000000005;602814.0;395262.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Display;MARCA;COSTEFIJO;RESIDENCIAL;LOVE;QUEDATEENCASA;2870953.0;5594.0;3264.5599999999995;2743761.0;2039248.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Display;SEEDTAG;CPM;RESIDENCIAL;LOVE;ILIMITADOS;1055268.0;5806.0;7650.6900000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Display;SPOTIFY;CPM;RESIDENCIAL;LOVE;ILIMITADOS;115770.0;298.0;868.2749999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Display;TOPESDEGAMA;CPM;RESIDENCIAL;LOVE;ILIMITADOS;510302.0;1105.0;2551.51;504246.0;282558.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Display;VOCENTO;COSTEFIJO;RESIDENCIAL;LOVE;ILIMITADOS;9277735.0;36388.0;19623.6;6331426.0;4018438.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Social;FACEBOOK;COSTEFIJO;RESIDENCIAL;LOVE;ILIMITADOS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Social;FACEBOOK;CPC;RESIDENCIAL;LOVE;ILIMITADOS;2506390.0;9842.0;4358.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Eros;Branding;Consideración;Cobertura;Social;FACEBOOK;CPM;RESIDENCIAL;LOVE;ILIMITADOS;12411026.0;14667.0;21253.219999999998;0.0;0.0;160510.0;390180.0;207889.0;147311.0;117808.0
3;Orange;Eros;Branding;Consideración;Cobertura;Social;TWITTER;CPM;RESIDENCIAL;LOVE;ILIMITADOS;3570778.0;12284.0;5026.583472;0.0;0.0;2878151.0;933512.0;372261.0;166999.0;91912.0
3;Orange;Eros;Branding;Consideración;Cobertura;Video Online;A3ADVERTISING;CPM;RESIDENCIAL;LOVE;ILIMITADOS;872150.0;42584.0;12209.69938202081;0.0;0.0;871487.0;801527.0;772435.0;755170.0;739845.0
3;Orange;Eros;Branding;Consideración;Cobertura;Video Online;PUBLIMEDIA;CPM;RESIDENCIAL;LOVE;ILIMITADOS;890055.0;52998.0;12905.800000000003;889207.0;801499.0;888941.0;766300.0;741394.0;729674.0;721044.0
3;Orange;Eros;Branding;Consideración;Cobertura;Video Online;SMARTCLIP;CPM;RESIDENCIAL;LOVE;ILIMITADOS;831490.0;20306.0;11640.850000000002;274639.0;145154.0;829122.0;757321.0;714063.0;684740.0;628914.0
3;Orange;Eros;Branding;Consideración;Cobertura;Video Online;SPOTIFY;CPV;RESIDENCIAL;LOVE;ILIMITADOS;91198.0;350.0;1638.4140000000002;0.0;0.0;91023.0;93415.0;92286.0;91604.0;91023.0
3;Orange;Eros;Branding;Consideración;Cobertura;Video Online;YOUTUBE;CPM;RESIDENCIAL;LOVE;ILIMITADOS;6635884.0;31422.0;23975.139999999996;6642799.0;6208259.0;2761101.0;2285386.0;1869269.0;1743897.0;1666318.0
3;Orange;NM-Carnaval;Branding;Consideración;Cobertura;Display;ELTIEMPO;CPM;RESIDENCIAL;NETWORKMK;CARNAVALPALMAS;3928.0;215.0;117.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;NM-Carnaval;Branding;Consideración;Cobertura;Display;TAPTAP;CPM;RESIDENCIAL;NETWORKMK;CARNAVALPALMAS;15502.0;29.0;117.368;14751.0;9149.0;0.0;0.0;0.0;0.0;0.0
3;Orange;NM-Carnaval;Branding;Consideración;Cobertura;Social;FACEBOOK;CPM;RESIDENCIAL;NETWORKMK;CARNAVALPALMAS;75558.0;107.0;135.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;NM-Carnaval;Branding;Consideración;Cobertura;Social;TWITTER;CPM;RESIDENCIAL;NETWORKMK;CARNAVALPALMAS;30265.0;194.0;48.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;NM-Fallas;Branding;Consideración;Cobertura;Display;ELTIEMPO;CPM;RESIDENCIAL;NETWORKMK;FALLASVALENCIA;74765.0;5641.0;1009.4200000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;NM-Fallas;Branding;Consideración;Cobertura;Display;HPH;CPM;RESIDENCIAL;NETWORKMK;FALLASVALENCIA;171855.0;269.0;653.9300000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;NM-Fallas;Branding;Consideración;Cobertura;Display;YOC;CPM;RESIDENCIAL;NETWORKMK;FALLASVALENCIA;190835.0;2089.0;1623.8999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;NM-Fallas;Branding;Consideración;Cobertura;Social;FACEBOOK;CPM;RESIDENCIAL;NETWORKMK;FALLASVALENCIA;877962.0;1167.0;1567.0900000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;NM-Fallas;Branding;Consideración;Cobertura;Social;TWITTER;CPM;RESIDENCIAL;NETWORKMK;FALLASVALENCIA;377668.0;2191.0;539.2216129999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Samsung-S20;Branding;Consideración;Cobertura;Display;ADSLZONE;CPM;SAMSUNG;TERMINALES;TERMINAL;55123.0;97.0;321.43;54004.0;29134.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Samsung-S20;Branding;Consideración;Cobertura;Display;ELPAIS;CPM;SAMSUNG;TERMINALES;TERMINAL;44701.0;289.0;285.714;42741.0;35093.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Samsung-S20;Branding;Consideración;Cobertura;Display;HPH;CPM;SAMSUNG;TERMINALES;TERMINAL;113956.0;153.0;221.1;25524.0;21396.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Samsung-S20;Branding;Consideración;Cobertura;Display;LEPETITJOURNAL;COSTEFIJO;SAMSUNG;TERMINALES;TERMINAL;858341.0;506.0;42.86;845490.0;155268.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Samsung-S20;Branding;Consideración;Cobertura;Display;SEEDTAG;CPM;SAMSUNG;TERMINALES;TERMINAL;34870.0;350.0;207.142;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Samsung-S20;Branding;Consideración;Cobertura;Display;VOCENTO;CPM;SAMSUNG;TERMINALES;TERMINAL;77885.0;216.0;334.90999999999997;58029.0;22735.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Samsung-S20;Branding;Consideración;Cobertura;Display;XATAKA;CPM;SAMSUNG;TERMINALES;TERMINAL;23882.0;43.0;214.28000000000003;22705.0;11222.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Samsung-S20;Branding;Consideración;Cobertura;Social;FACEBOOK;CPM;SAMSUNG;TERMINALES;TERMINAL;715962.0;482.0;312.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Terminal-Renove;Performance;Captación;RENOVE;Display;ORANGEPIBDBM;CPM;RESIDENCIAL;RENOVE;TERMINAL;3668958.0;6270.0;2896.640000000006;3486349.0;2340258.0;0.0;0.0;0.0;0.0;0.0
3;Orange;Terminal-Renove;Performance;Captación;RENOVE;Social;BMINHOUSEFACEBOOK;CPM;RESIDENCIAL;RENOVE;TERMINAL;2825362.0;10942.0;3363.5900000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;DBMinhouse;CPM;RESIDENCIAL;GO;Gotop;45288.0;44.0;307.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;Orange;AO-Dis-Pro;Performance;Captación;Alta;Display;Verizon;CPM;RESIDENCIAL;GO;Gotop;242514.0;598.0;47.57999999999988;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;Orange;AO-Dis-Rtg;Performance;Captación;Alta;Display;GOOGLEinhouse;CPC;RESIDENCIAL;4GENCASA;4GENCASA;1340244.0;3225.0;1315.7299999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;Orange;AO-Dis-Rtg;Performance;Captación;Alta;Display;GOOGLEinhouse;CPC;RESIDENCIAL;GO;TARIFASGO;213443.0;371.0;178.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;Orange;AO-Dis-Rtg;Performance;Captación;Alta;Display;GOOGLEinhouse;CPC;RESIDENCIAL;LOVE;ORANGE TV;4980432.0;10742.0;3604.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;Orange;AO-Dis-Rtg;Performance;Captación;Alta;Display;GOOGLEinhouse;CPC;SONY;OBJETOSCONECTADOS;OBJETOS CONECTADOS;11724704.0;38256.0;6535.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;Orange;AO-Dis-Rtg;Performance;Captación;Alta;Display;RTBHOUSE;CPC;RESIDENCIAL;4GENCASA;4GENCASA;1498258.0;11811.0;2500.0000000000036;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;Orange;AO-RRSS;Performance;Captación;ALTA;Social;BMINHOUSEFACEBOOK;CPM;RESIDENCIAL;GO;GOTOP;1074223.0;1845.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;Orange;AO-RRSS;Performance;Captación;Crosselling;Social;BMINHOUSEFACEBOOK;CPM;RESIDENCIAL;4GENCASA;4GENCASA;961047.0;5738.0;2164.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0
